Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
28.3291,0.0496779,1464.363824,0,0,0,0,0,0,0,0,0,0
25.5184,2.71318,1418.939699,0,0,0,0,0,0,0,0,0,0
5.62047,12.5265,1411.580432,0,0,0,0,0,0,0,0,0,0
0.0,19.9323,907.3467985,0,0,0,0,0,0,0,0,0,0
0.0,17.2879,909.104902,0,0,0,0,0,0,0,0,0,0
7.52786,5.05568,658.291618,0,0,0,0,0,0,0,0,0,0
3.38639,10.6425,629.1770225,0,0,0,0,0,0,0,0,0,0
6.26841,7.57778,701.4460033,0,0,0,0,0,0,0,0,0,0
37.4084,0.664919,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
24.7294,3.64941,1464.363824,0,0,0,0,0,0,0,0,0,0
20.8869,7.34468,1418.939699,0,0,0,0,0,0,0,0,0,0
7.44709,10.6998,1411.580432,0,0,0,0,0,0,0,0,0,0
0.882737,17.2994,907.3467985,0,0,0,0,0,0,0,0,0,0
0.0,21.671,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,19.1374,658.291618,0,0,0,0,0,0,0,0,0,0
0.0,14.5403,629.1770225,0,0,0,0,0,0,0,0,0,0
5.71431,8.13188,701.4460033,0,0,0,0,0,0,0,0,0,0
37.2823,0.791024,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.15212,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.112721,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
20.9921,7.38672,1464.363824,0,0,0,0,0,0,0,0,0,0
14.253,13.9786,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,18.3693,1411.580432,0,0,0,0,0,0,0,0,0,0
0.0,20.9335,907.3467985,0,0,0,0,0,0,0,0,0,0
0.0,21.0366,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,18.9387,658.291618,0,0,0,0,0,0,0,0,0,0
0.0,14.5097,629.1770225,0,0,0,0,0,0,0,0,0,0
5.54235,8.30385,701.4460033,0,0,0,0,0,0,0,0,0,0
36.3193,1.75401,692.3099214,0,0,0,0,0,0,0,0,0,0
0.148367,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
7.44611,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.708425,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
