Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
4.54542,0,18.892702207730025,0,0,0,0,0,0,0,0,0,0
4.54542,0,19.812121901819282,0,0,0,0,0,0,0,0,0,0
4.54542,0,20.29474430737149,0,0,0,0,0,0,0,0,0,0
4.54542,0,20.468898589383148,0,0,0,0,0,0,0,0,0,0
4.54542,0,20.523688603053444,0,0,0,0,0,0,0,0,0,0
4.54542,0,20.111821434124014,0,0,0,0,0,0,0,0,0,0
4.53373,0,19.540600674099817,0,0,0,0,0,0,0,0,0,0
4.50026,0,18.51513534299154,0,0,0,0,0,0,0,0,0,0
4.52756,0,16.551604803202423,0,0,0,0,0,0,0,0,0,0
4.51004,0,15.230076328400541,0,0,0,0,0,0,0,0,0,0
4.52061,0,12.47511455299567,0,0,0,0,0,0,0,0,0,0
4.52727,0,8.10498019362846,0,0,0,0,0,0,0,0,0,0
4.53505,0,4.1458569675294585,0,0,0,0,0,0,0,0,0,0
4.54099,0,2.3334636157440394,0,0,0,0,0,0,0,0,0,0
4.54199,0,1.9624930985268736,0,0,0,0,0,0,0,0,0,0
4.54411,0,2.8835307190660284,0,0,0,0,0,0,0,0,0,0
4.54542,0,4.3336315853565655,0,0,0,0,0,0,0,0,0,0
4.54542,0,6.0183396098482485,0,0,0,0,0,0,0,0,0,0
4.54542,0,7.889675940702117,0,0,0,0,0,0,0,0,0,0
4.54542,0,9.828250670122607,0,0,0,0,0,0,0,0,0,0
4.54542,0,11.81593106146087,0,0,0,0,0,0,0,0,0,0
4.54542,0,13.824634910764027,0,0,0,0,0,0,0,0,0,0
4.54542,0,15.67873251046721,0,0,0,0,0,0,0,0,0,0
5.29609,0,17.433279727314233,0,0,0,0,0,0,0,0,0,0
5.29609,0,18.1166102777984,0,0,0,0,0,0,0,0,0,0
5.29609,0,19.573481960904438,0,0,0,0,0,0,0,0,0,0
5.29609,0,21.00439644232908,0,0,0,0,0,0,0,0,0,0
5.29609,0,22.44617092560927,0,0,0,0,0,0,0,0,0,0
5.97851,0,23.75683624403713,0,0,0,0,0,0,0,0,0,0
5.97851,0,24.35647859147855,0,0,0,0,0,0,0,0,0,0
8.675,0,61.18648746283616,0,0,0,0,0,0,0,0,0,0
20.2654,0,55.01544304218568,0,0,0,0,0,0,0,0,0,0
20.4929,0,32.3423254120048,0,0,0,0,0,0,0,0,0,0
20.4321,0,30.49594562073196,0,0,0,0,0,0,0,0,0,0
20.2338,0,28.331749699556344,0,0,0,0,0,0,0,0,0,0
19.5743,0,25.303206117116897,0,0,0,0,0,0,0,0,0,0
20.4914,0,23.244518995832937,0,0,0,0,0,0,0,0,0,0
20.3806,0,14.28181926775968,0,0,0,0,0,0,0,0,0,0
20.5861,0,11.224286950926508,0,0,0,0,0,0,0,0,0,0
20.6313,0,8.537351195378879,0,0,0,0,0,0,0,0,0,0
17.1703,0,8.542748618764426,0,0,0,0,0,0,0,0,0,0
12.9393,0,16.360985245199956,0,0,0,0,0,0,0,0,0,0
12.9393,0,25.809664817723426,0,0,0,0,0,0,0,0,0,0
9.4589,0,28.29718962960033,0,0,0,0,0,0,0,0,0,0
9.4589,0,36.81777371193685,0,0,0,0,0,0,0,0,0,0
6.17897,0,39.09946883514868,0,0,0,0,0,0,0,0,0,0
5.29609,0,7.083760496710004,0,0,0,0,0,0,0,0,0,0
5.29609,0,19.022185105883615,0,0,0,0,0,0,0,0,0,0
5.29609,0,23.346140668304198,0,0,0,0,0,0,0,0,0,0
5.29609,0,25.876821095461427,0,0,0,0,0,0,0,0,0,0
5.29609,0,27.77957631407444,0,0,0,0,0,0,0,0,0,0
5.29609,0,29.37667751186373,0,0,0,0,0,0,0,0,0,0
5.97851,0,30.745596847065713,0,0,0,0,0,0,0,0,0,0
5.97851,0,31.041074012147973,0,0,0,0,0,0,0,0,0,0
8.66939,0,61.18648746283616,0,0,0,0,0,0,0,0,0,0
19.9252,0,60.15953352159568,0,0,0,0,0,0,0,0,0,0
19.8327,0,35.41959928630553,0,0,0,0,0,0,0,0,0,0
20.1472,0,32.56405905781366,0,0,0,0,0,0,0,0,0,0
20.2142,0,27.89899500343234,0,0,0,0,0,0,0,0,0,0
19.5229,0,22.686802458449268,0,0,0,0,0,0,0,0,0,0
20.3278,0,20.799216242802583,0,0,0,0,0,0,0,0,0,0
20.3946,0,11.440596998503336,0,0,0,0,0,0,0,0,0,0
20.494,0,6.021959248648757,0,0,0,0,0,0,0,0,0,0
20.6262,0,2.4933396256304277,0,0,0,0,0,0,0,0,0,0
17.1703,0,1.920611015855738,0,0,0,0,0,0,0,0,0,0
12.9393,0,10.375258257660128,0,0,0,0,0,0,0,0,0,0
12.9393,0,21.31232211517606,0,0,0,0,0,0,0,0,0,0
9.4589,0,25.043058966825235,0,0,0,0,0,0,0,0,0,0
9.4589,0,34.180029521290194,0,0,0,0,0,0,0,0,0,0
6.33177,0,36.64163061121362,0,0,0,0,0,0,0,0,0,0
5.29609,0,5.360747997998644,0,0,0,0,0,0,0,0,0,0
5.29609,0,16.861104313041988,0,0,0,0,0,0,0,0,0,0
5.29609,0,21.14093097990782,0,0,0,0,0,0,0,0,0,0
5.29609,0,23.361594821518942,0,0,0,0,0,0,0,0,0,0
5.29609,0,24.8413143787022,0,0,0,0,0,0,0,0,0,0
5.29609,0,26.087434030277542,0,0,0,0,0,0,0,0,0,0
5.97851,0,26.88206985385126,0,0,0,0,0,0,0,0,0,0
5.97851,0,26.480419607327534,0,0,0,0,0,0,0,0,0,0
8.70628,0,61.18648746283616,0,0,0,0,0,0,0,0,0,0
20.4853,0,54.67728107081959,0,0,0,0,0,0,0,0,0,0
20.0992,0,30.79220897052334,0,0,0,0,0,0,0,0,0,0
20.3388,0,27.428629086182404,0,0,0,0,0,0,0,0,0,0
20.5348,0,22.605581260865943,0,0,0,0,0,0,0,0,0,0
19.7335,0,17.345371904486868,0,0,0,0,0,0,0,0,0,0
20.2951,0,17.438039266016453,0,0,0,0,0,0,0,0,0,0
20.3849,0,10.685608939314049,0,0,0,0,0,0,0,0,0,0
20.4727,0,4.903076634644484,0,0,0,0,0,0,0,0,0,0
20.6213,0,0.4104045871858219,0,0,0,0,0,0,0,0,0,0
17.1703,0,0.0,0,0,0,0,0,0,0,0,0,0
12.9393,0,4.522754565835176,0,0,0,0,0,0,0,0,0,0
12.9393,0,14.353900134650013,0,0,0,0,0,0,0,0,0,0
9.4589,0,16.736845350020722,0,0,0,0,0,0,0,0,0,0
9.4589,0,24.902083144812874,0,0,0,0,0,0,0,0,0,0
6.38697,0,26.556127419962277,0,0,0,0,0,0,0,0,0,0
5.29609,0,1.4923569124137166,0,0,0,0,0,0,0,0,0,0
5.29609,0,3.9704080129796795,0,0,0,0,0,0,0,0,0,0
5.29609,0,8.444537486727059,0,0,0,0,0,0,0,0,0,0
5.29609,0,10.100544656073474,0,0,0,0,0,0,0,0,0,0
5.29609,0,10.881261458906696,0,0,0,0,0,0,0,0,0,0
5.29609,0,11.167920037970449,0,0,0,0,0,0,0,0,0,0
5.97851,0,10.807465122483997,0,0,0,0,0,0,0,0,0,0
5.97851,0,9.43789220772482,0,0,0,0,0,0,0,0,0,0
8.70628,0,49.233766293596545,0,0,0,0,0,0,0,0,0,0
20.6098,0,32.88745076197651,0,0,0,0,0,0,0,0,0,0
20.411,0,11.284194934014804,0,0,0,0,0,0,0,0,0,0
20.0324,0,9.438136975832158,0,0,0,0,0,0,0,0,0,0
20.3587,0,6.713642229055988,0,0,0,0,0,0,0,0,0,0
19.6108,0,1.3240704989646537,0,0,0,0,0,0,0,0,0,0
20.9111,0,0.0,0,0,0,0,0,0,0,0,0,0
20.7911,0,0.0,0,0,0,0,0,0,0,0,0,0
20.5946,0,0.0,0,0,0,0,0,0,0,0,0,0
20.6289,0,0.0,0,0,0,0,0,0,0,0,0,0
17.1703,0,0.0,0,0,0,0,0,0,0,0,0,0
12.9393,0,0.6956218698701492,0,0,0,0,0,0,0,0,0,0
12.9393,0,1.2678182400183833,0,0,0,0,0,0,0,0,0,0
9.4589,0,5.773421532395376,0,0,0,0,0,0,0,0,0,0
9.4589,0,15.818434354199303,0,0,0,0,0,0,0,0,0,0
6.30941,0,18.74566376695347,0,0,0,0,0,0,0,0,0,0
5.29609,0,1.2949383003012516,0,0,0,0,0,0,0,0,0,0
5.29609,0,1.192264737522689,0,0,0,0,0,0,0,0,0,0
5.29609,0,3.3160814293713385,0,0,0,0,0,0,0,0,0,0
5.29609,0,6.532684132596286,0,0,0,0,0,0,0,0,0,0
5.29609,0,8.080393155202188,0,0,0,0,0,0,0,0,0,0
5.29609,0,8.616563011057846,0,0,0,0,0,0,0,0,0,0
5.97851,0,8.498776503259245,0,0,0,0,0,0,0,0,0,0
5.97851,0,8.076087329718339,0,0,0,0,0,0,0,0,0,0
8.67162,0,48.610894560477675,0,0,0,0,0,0,0,0,0,0
20.0575,0,31.835391932582514,0,0,0,0,0,0,0,0,0,0
19.871,0,9.97768966099684,0,0,0,0,0,0,0,0,0,0
20.3246,0,7.0875630825017,0,0,0,0,0,0,0,0,0,0
20.7962,0,2.1129301485997383,0,0,0,0,0,0,0,0,0,0
20.173,0,0.0,0,0,0,0,0,0,0,0,0,0
21.6703,0,0.0,0,0,0,0,0,0,0,0,0,0
25.4246,0,0.0,0,0,0,0,0,0,0,0,0,0
26.4941,0,0.0,0,0,0,0,0,0,0,0,0,0
26.4295,0,0.0,0,0,0,0,0,0,0,0,0,0
18.8238,0,0.0,0,0,0,0,0,0,0,0,0,0
12.9393,0,0.0,0,0,0,0,0,0,0,0,0,0
12.9393,0,0.8745814995254815,0,0,0,0,0,0,0,0,0,0
9.4589,0,0.9116049760930449,0,0,0,0,0,0,0,0,0,0
9.4589,0,6.397793536274781,0,0,0,0,0,0,0,0,0,0
6.13539,0,13.072462493074712,0,0,0,0,0,0,0,0,0,0
5.29609,0,1.2366017902942743,0,0,0,0,0,0,0,0,0,0
4.54542,0,1.2543012966671279,0,0,0,0,0,0,0,0,0,0
4.54542,0,2.502760838895181,0,0,0,0,0,0,0,0,0,0
4.54542,0,7.483875525739929,0,0,0,0,0,0,0,0,0,0
4.54542,0,10.729675195609431,0,0,0,0,0,0,0,0,0,0
4.54542,0,13.115777292767795,0,0,0,0,0,0,0,0,0,0
4.54542,0,14.646398097271973,0,0,0,0,0,0,0,0,0,0
5.97851,0,15.331727442727468,0,0,0,0,0,0,0,0,0,0
5.96573,0,53.1523642788715,0,0,0,0,0,0,0,0,0,0
11.8472,0,39.54382511166669,0,0,0,0,0,0,0,0,0,0
