Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
18878400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18878400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18878400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18878400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19958400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20112543.94305716,0.0,5073055.800507426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26277770.223773375,0.0,361347.8835608207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44360938.05980089,0.0,2765603.14402501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44155326.18934812,0.0,4193120.3474081745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44122182.87551214,0.0,2839791.038340261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45068261.41902838,0.0,3213019.045658041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43304397.462075934,0.0,2570859.2831878457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55115148.6805526,0.0,2674631.7318880484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58525772.22954815,0.0,4419802.026047095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55398025.97140026,0.0,2111441.0348853082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47774624.60476498,0.0,880939.4245327949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30590508.78584858,0.0,5205694.063853258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11794175.244050626,0.0,1826828.2297067132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11794175.244050626,0.0,2491323.2459780984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21674594.32895267,0.0,2702325.1391978674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21674594.32895267,0.0,1610695.3593946863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19730019.084902033,0.0,1715339.776153564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18650019.084902037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18878400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,
