Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,0,0,0,0,0,0,0,0,0,0,0
28.3291,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
25.5184,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
5.61965,0.000815203,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,0.0445226,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,0.205557,1411.580432,0,0,0,0,0,0,0,0,0,0
7.20078,0.327085,907.3467985,0,0,0,0,0,0,0,0,0,0
3.1027,0.283691,909.104902,0,0,0,0,0,0,0,0,0,0
6.18545,0.0829626,658.291618,0,0,0,0,0,0,0,0,0,0
37.2338,0.174642,629.1770225,0,0,0,0,0,0,0,0,0,0
0.0240171,0.12435,701.4460033,0,0,0,0,0,0,0,0,0,0
7.4352,0.0109112,692.3099214,0,0,0,0,0,0,0,0,0,0
0.708425,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.15212,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.112721,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,0,0,0,0,0,0,0,0,0,0,0
24.7294,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
20.8869,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
7.3872,0.0598861,1464.363824,0,0,0,0,0,0,0,0,0,0
0.762212,0.120525,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,0.175582,1411.580432,0,0,0,0,0,0,0,0,0,0
0.0,0.283879,907.3467985,0,0,0,0,0,0,0,0,0,0
0.0,0.355617,909.104902,0,0,0,0,0,0,0,0,0,0
5.40027,0.314041,658.291618,0,0,0,0,0,0,0,0,0,0
37.0437,0.238604,629.1770225,0,0,0,0,0,0,0,0,0,0
0.0149245,0.133443,701.4460033,0,0,0,0,0,0,0,0,0,0
7.43313,0.0129805,692.3099214,0,0,0,0,0,0,0,0,0,0
0.708425,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.15212,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.112721,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,0,0,0,0,0,0,0,0,0,0,0
20.9921,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
14.253,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0.121214,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,0.229386,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,0.301437,1411.580432,0,0,0,0,0,0,0,0,0,0
0.0,0.343514,907.3467985,0,0,0,0,0,0,0,0,0,0
0.0,0.345207,909.104902,0,0,0,0,0,0,0,0,0,0
5.23157,0.310781,658.291618,0,0,0,0,0,0,0,0,0,0
36.0812,0.238102,629.1770225,0,0,0,0,0,0,0,0,0,0
0.0121026,0.136264,701.4460033,0,0,0,0,0,0,0,0,0,0
7.41733,0.0287829,692.3099214,0,0,0,0,0,0,0,0,0,0
0.708425,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.15212,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.112721,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
