Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0,0,0,0,0,0,0,0,0,0,0,0
28.3291,0,0,0,0,0,0,0,0,0,0,0,0
25.5184,0,0,0,0,0,0,0,0,0,0,0,0
5.61965,0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.0,0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0,1464.363824,0,0,0,0,0,0,0,0,0,0
6.29445,0,1418.939699,0,0,0,0,0,0,0,0,0,0
1.66053,0,1411.580432,0,0,0,0,0,0,0,0,0,0
4.93461,0,907.3467985,0,0,0,0,0,0,0,0,0,0
36.7455,0,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,0,658.291618,0,0,0,0,0,0,0,0,0,0
6.88692,0,629.1770225,0,0,0,0,0,0,0,0,0,0
0.660316,0,701.4460033,0,0,0,0,0,0,0,0,0,0
10.1952,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.049006,0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.0,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0,0,0,0,0,0,0,0,0,0,0,0
24.7294,0,0,0,0,0,0,0,0,0,0,0,0
20.8869,0,0,0,0,0,0,0,0,0,0,0,0
7.3872,0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.257237,0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,0,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,0,1411.580432,0,0,0,0,0,0,0,0,0,0
3.8323,0,907.3467985,0,0,0,0,0,0,0,0,0,0
35.4307,0,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,0,658.291618,0,0,0,0,0,0,0,0,0,0
6.84476,0,629.1770225,0,0,0,0,0,0,0,0,0,0
0.651192,0,701.4460033,0,0,0,0,0,0,0,0,0,0
10.0033,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.0,0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.0,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0,0,0,0,0,0,0,0,0,0,0,0
20.9921,0,0,0,0,0,0,0,0,0,0,0,0
14.253,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.0,0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,0,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,0,1411.580432,0,0,0,0,0,0,0,0,0,0
3.7095,0,907.3467985,0,0,0,0,0,0,0,0,0,0
34.4825,0,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,0,658.291618,0,0,0,0,0,0,0,0,0,0
6.81652,0,629.1770225,0,0,0,0,0,0,0,0,0,0
0.581516,0,701.4460033,0,0,0,0,0,0,0,0,0,0
10.0033,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.0,0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.0,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0,0,0,0,0,0,0,0,0,0,0,0
20.8927,0,0,0,0,0,0,0,0,0,0,0,0
14.0237,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.0,0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,0,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,0,1411.580432,0,0,0,0,0,0,0,0,0,0
3.40274,0,907.3467985,0,0,0,0,0,0,0,0,0,0
34.3256,0,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,0,658.291618,0,0,0,0,0,0,0,0,0,0
6.7954,0,629.1770225,0,0,0,0,0,0,0,0,0,0
0.573775,0,701.4460033,0,0,0,0,0,0,0,0,0,0
10.1952,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.15212,0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0,0,0,0,0,0,0,0,0,0,0,0
27.5801,0,0,0,0,0,0,0,0,0,0,0,0
23.5542,0,0,0,0,0,0,0,0,0,0,0,0
1.23571,0,1885.996561,0,0,0,0,0,0,0,0,0,0
1.13124,0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0,1464.363824,0,0,0,0,0,0,0,0,0,0
4.73593,0,1418.939699,0,0,0,0,0,0,0,0,0,0
9.55177,0,1411.580432,0,0,0,0,0,0,0,0,0,0
3.95269,0,907.3467985,0,0,0,0,0,0,0,0,0,0
35.573,0,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,0,658.291618,0,0,0,0,0,0,0,0,0,0
6.80403,0,629.1770225,0,0,0,0,0,0,0,0,0,0
0.577646,0,701.4460033,0,0,0,0,0,0,0,0,0,0
10.0033,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.0,0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.0,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0,0,0,0,0,0,0,0,0,0,0,0
33.644,0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0,0,0,0,0,0,0,0,0,0,0,0
22.3907,0,0,0,0,0,0,0,0,0,0,0,0
16.649,0,0,0,0,0,0,0,0,0,0,0,0
7.84179,0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.0,0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,0,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,0,1411.580432,0,0,0,0,0,0,0,0,0,0
3.75058,0,907.3467985,0,0,0,0,0,0,0,0,0,0
35.2519,0,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,0,658.291618,0,0,0,0,0,0,0,0,0,0
6.81691,0,629.1770225,0,0,0,0,0,0,0,0,0,0
0.627137,0,701.4460033,0,0,0,0,0,0,0,0,0,0
10.1952,0,692.3099214,0,0,0,0,0,0,0,0,0,0
0.15212,0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.112721,0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,0,0,0,0,0,0,0,0
