Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
75.4398,0.0,0,0,0,0,0,0,0,0,0,0,0
67.288,0.0,0,0,0,0,0,0,0,0,0,0,0
58.5746,0.0,0,0,0,0,0,0,0,0,0,0,0
56.6582,0.0,0,0,0,0,0,0,0,0,0,0,0
51.0368,0.0,0,0,0,0,0,0,0,0,0,0,0
11.2393,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0.01405254,1464.363824,0,0,0,0,0,0,0,0,0,0
11.82142,0.767486,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,3.5434,1411.580432,0,0,0,0,0,0,0,0,0,0
4.2309,5.63832,907.3467985,0,0,0,0,0,0,0,0,0,0
68.6008,4.89028,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,1.430116,658.291618,0,0,0,0,0,0,0,0,0,0
10.29834,3.01048,629.1770225,0,0,0,0,0,0,0,0,0,0
0.0,2.14356,701.4460033,0,0,0,0,0,0,0,0,0,0
17.32496,0.1880878,692.3099214,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
75.4398,0.0,0,0,0,0,0,0,0,0,0,0,0
67.288,0.0,0,0,0,0,0,0,0,0,0,0,0
58.5746,0.0,0,0,0,0,0,0,0,0,0,0,0
49.4588,0.0,0,0,0,0,0,0,0,0,0,0,0
41.7738,0.0,0,0,0,0,0,0,0,0,0,0,0
14.7744,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.514474,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,1.032322,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,2.07762,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,3.02672,1411.580432,0,0,0,0,0,0,0,0,0,0
2.77108,4.89352,907.3467985,0,0,0,0,0,0,0,0,0,0
62.0038,6.13016,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,5.41346,658.291618,0,0,0,0,0,0,0,0,0,0
8.34784,4.11308,629.1770225,0,0,0,0,0,0,0,0,0,0
0.0,2.3003,701.4460033,0,0,0,0,0,0,0,0,0,0
16.90548,0.22376,692.3099214,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
75.4398,0.0,0,0,0,0,0,0,0,0,0,0,0
67.288,0.0,0,0,0,0,0,0,0,0,0,0,0
58.5746,0.0,0,0,0,0,0,0,0,0,0,0,0
41.9842,0.0,0,0,0,0,0,0,0,0,0,0,0
28.506,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,2.0895,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,3.95416,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,5.1962,1411.580432,0,0,0,0,0,0,0,0,0,0
1.497474,5.92152,907.3467985,0,0,0,0,0,0,0,0,0,0
60.2868,5.95072,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,5.35726,658.291618,0,0,0,0,0,0,0,0,0,0
8.13108,4.10442,629.1770225,0,0,0,0,0,0,0,0,0,0
0.0,2.34894,701.4460033,0,0,0,0,0,0,0,0,0,0
16.63308,0.496162,692.3099214,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
75.4398,0.0,0,0,0,0,0,0,0,0,0,0,0
67.288,0.0,0,0,0,0,0,0,0,0,0,0,0
58.5746,0.0,0,0,0,0,0,0,0,0,0,0,0
41.7854,0.0,0,0,0,0,0,0,0,0,0,0,0
28.0474,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,2.11762,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,4.01904,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,5.33888,1411.580432,0,0,0,0,0,0,0,0,0,0
0.780182,6.0253,907.3467985,0,0,0,0,0,0,0,0,0,0
59.8562,6.06746,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,5.5194,658.291618,0,0,0,0,0,0,0,0,0,0
8.19186,4.25144,629.1770225,0,0,0,0,0,0,0,0,0,0
0.0,2.4246,701.4460033,0,0,0,0,0,0,0,0,0,0
19.86398,0.52643,692.3099214,0,0,0,0,0,0,0,0,0,0
0.30424,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.0224378,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
75.4398,0.0,0,0,0,0,0,0,0,0,0,0,0
67.288,0.0,0,0,0,0,0,0,0,0,0,0,0
58.5746,0.0,0,0,0,0,0,0,0,0,0,0,0
55.1602,0.0,0,0,0,0,0,0,0,0,0,0,0
47.1084,0.0,0,0,0,0,0,0,0,0,0,0,0
2.47142,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
2.26248,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0.225922,1464.363824,0,0,0,0,0,0,0,0,0,0
8.14876,1.3231,1418.939699,0,0,0,0,0,0,0,0,0,0
14.32352,4.78002,1411.580432,0,0,0,0,0,0,0,0,0,0
3.1848,4.72058,907.3467985,0,0,0,0,0,0,0,0,0,0
64.3516,5.17998,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,1.796564,658.291618,0,0,0,0,0,0,0,0,0,0
11.32286,0.83991,629.1770225,0,0,0,0,0,0,0,0,0,0
0.0,2.39434,701.4460033,0,0,0,0,0,0,0,0,0,0
16.61794,0.511296,692.3099214,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
75.4398,0.0,0,0,0,0,0,0,0,0,0,0,0
67.288,0.0,0,0,0,0,0,0,0,0,0,0,0
58.5746,0.0,0,0,0,0,0,0,0,0,0,0,0
44.7814,0.0,0,0,0,0,0,0,0,0,0,0,0
33.298,0.0,0,0,0,0,0,0,0,0,0,0,0
15.68358,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,1.693872,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,3.2764,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,2.88726,1411.580432,0,0,0,0,0,0,0,0,0,0
2.52008,4.98108,907.3467985,0,0,0,0,0,0,0,0,0,0
62.3964,5.37996,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,4.79408,658.291618,0,0,0,0,0,0,0,0,0,0
8.42108,4.19414,629.1770225,0,0,0,0,0,0,0,0,0,0
0.0,2.38786,701.4460033,0,0,0,0,0,0,0,0,0,0
20.0726,0.317804,692.3099214,0,0,0,0,0,0,0,0,0,0
0.30424,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.225442,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
75.4398,0.0,0,0,0,0,0,0,0,0,0,0,0
67.288,0.0,0,0,0,0,0,0,0,0,0,0,0
58.5746,0.0,0,0,0,0,0,0,0,0,0,0,0
43.291,0.0,0,0,0,0,0,0,0,0,0,0,0
27.6458,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,1.90466,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,3.66664,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,4.92812,1411.580432,0,0,0,0,0,0,0,0,0,0
2.54534,5.5875,907.3467985,0,0,0,0,0,0,0,0,0,0
60.4942,5.65452,909.104902,0,0,0,0,0,0,0,0,0,0
0.0,5.1216,658.291618,0,0,0,0,0,0,0,0,0,0
8.724,3.93146,629.1770225,0,0,0,0,0,0,0,0,0,0
0.0,2.27326,701.4460033,0,0,0,0,0,0,0,0,0,0
19.8618,0.528592,692.3099214,0,0,0,0,0,0,0,0,0,0
0.30424,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.225442,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
