Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,0,0,0,0,0,0,0,0,0,0,0
28.3291,0.0,0,0,0,0,0,0,0,0,0,0,0
25.5184,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
5.61965,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0.00359436,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,0.196307,1418.939699,0,0,0,0,0,0,0,0,0,0
6.29445,0.906332,1411.580432,0,0,0,0,0,0,0,0,0,0
1.66053,1.44217,907.3467985,0,0,0,0,0,0,0,0,0,0
4.93461,1.25084,909.104902,0,0,0,0,0,0,0,0,0,0
36.7455,0.365795,658.291618,0,0,0,0,0,0,0,0,0,0
0.0,0.770023,629.1770225,0,0,0,0,0,0,0,0,0,0
6.88692,0.548278,701.4460033,0,0,0,0,0,0,0,0,0,0
0.660316,0.0481091,692.3099214,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.049006,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,0,0,0,0,0,0,0,0,0,0,0
24.7294,0.0,0,0,0,0,0,0,0,0,0,0,0
20.8869,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
7.3872,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.257237,0.264047,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,0.531413,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,0.77417,1411.580432,0,0,0,0,0,0,0,0,0,0
0.0,1.25167,907.3467985,0,0,0,0,0,0,0,0,0,0
3.8323,1.56797,909.104902,0,0,0,0,0,0,0,0,0,0
35.4307,1.38466,658.291618,0,0,0,0,0,0,0,0,0,0
0.0,1.05204,629.1770225,0,0,0,0,0,0,0,0,0,0
6.84476,0.588369,701.4460033,0,0,0,0,0,0,0,0,0,0
0.651192,0.0572333,692.3099214,0,0,0,0,0,0,0,0,0,0
10.0033,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,0,0,0,0,0,0,0,0,0,0,0
20.9921,0.0,0,0,0,0,0,0,0,0,0,0,0
14.253,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0.534454,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,1.0114,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,1.32908,1411.580432,0,0,0,0,0,0,0,0,0,0
0.0,1.51461,907.3467985,0,0,0,0,0,0,0,0,0,0
3.7095,1.52207,909.104902,0,0,0,0,0,0,0,0,0,0
34.4825,1.37028,658.291618,0,0,0,0,0,0,0,0,0,0
0.0,1.04983,629.1770225,0,0,0,0,0,0,0,0,0,0
6.81652,0.600811,701.4460033,0,0,0,0,0,0,0,0,0,0
0.581516,0.126909,692.3099214,0,0,0,0,0,0,0,0,0,0
10.0033,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.0,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,0,0,0,0,0,0,0,0,0,0,0
29.2873,0.0,0,0,0,0,0,0,0,0,0,0,0
20.8927,0.0,0,0,0,0,0,0,0,0,0,0,0
14.0237,0.0,1885.996561,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1682.199351,0,0,0,0,0,0,0,0,0,0
0.0,0.541643,1464.363824,0,0,0,0,0,0,0,0,0,0
0.0,1.02799,1418.939699,0,0,0,0,0,0,0,0,0,0
0.0,1.36558,1411.580432,0,0,0,0,0,0,0,0,0,0
0.0,1.54115,907.3467985,0,0,0,0,0,0,0,0,0,0
3.40274,1.55193,909.104902,0,0,0,0,0,0,0,0,0,0
34.3256,1.41175,658.291618,0,0,0,0,0,0,0,0,0,0
0.0,1.08743,629.1770225,0,0,0,0,0,0,0,0,0,0
6.7954,0.620166,701.4460033,0,0,0,0,0,0,0,0,0,0
0.573775,0.13465,692.3099214,0,0,0,0,0,0,0,0,0,0
10.1952,0.0,1903.664293,0,0,0,0,0,0,0,0,0,0
0.15212,0.0,7.418333025,0,0,0,0,0,0,0,0,0,0
0.112721,0.0,372.3055441,0,0,0,0,0,0,0,0,0,0
0.0,0.0,35.42125452,0,0,0,0,0,0,0,0,0,0
0.0,0.0,509.7591575,0,0,0,0,0,0,0,0,0,0
0.0,0.0,7.606008305,0,0,0,0,0,0,0,0,0,0
0.0,0.0,5.636065098,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
37.7199,0.0,0,0,0,0,0,0,0,0,0,0,0
33.644,0.0,0,0,0,0,0,0,0,0,0,0,0
