Time,1 ZONE VAV:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Heat Cap [W],1 ZONE VAV:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Heat Cap [W],1 ZONE VAV:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Heat Cap [W],1 ZONE VAV:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Heat Cap [W],1 ZONE VAV 1:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Heat Cap [W],1 ZONE VAV 1:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Heat Cap [W],1 ZONE VAV 1:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 1:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 1:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Heat Cap [W],1 ZONE VAV 2:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Heat Cap [W],1 ZONE VAV 2:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Heat Cap [W],1 ZONE VAV 2:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 2:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 2:DesPer 3:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 1:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 1:Des Heat Cap [W],1 ZONE VAV 3:DesPer 1:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 1:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 1:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 2:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 2:Des Heat Cap [W],1 ZONE VAV 3:DesPer 2:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 2:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 2:Des Tot Cool Cap [W],1 ZONE VAV 3:DesPer 3:Des Heat Mass Flow [kg/s],1 ZONE VAV 3:DesPer 3:Des Heat Cap [W],1 ZONE VAV 3:DesPer 3:Des Cool Mass Flow [kg/s],1 ZONE VAV 3:DesPer 3:Des Sens Cool Cap [W],1 ZONE VAV 3:DesPer 3:Des Tot Cool Cap [W]
01:00:00,1.457798E+02,0.000000E+00,1.457798E+02,1.367938E+06,3.185074E+06,1.457798E+02,0.000000E+00,1.457798E+02,1.001718E+06,3.318942E+06,1.457798E+02,4.259547E+06,1.457798E+02,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,1.958346E+01,2.260005E+05,3.677487E+05,1.041284E+01,0.000000E+00,1.898776E+01,1.915071E+05,3.712574E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,1.946941E+01,2.244045E+05,3.670072E+05,1.041284E+01,0.000000E+00,1.882896E+01,1.892849E+05,3.702033E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,9.294418E+01,0.000000E+00,1.818789E+02,2.052040E+06,3.773067E+06,9.294418E+01,0.000000E+00,1.772077E+02,1.756490E+06,3.805610E+06,9.294418E+01,2.715741E+06,9.294418E+01,0.000000E+00,0.000000E+00
02:00:00,1.457798E+02,0.000000E+00,1.457798E+02,1.313444E+06,3.129234E+06,1.457798E+02,0.000000E+00,1.457798E+02,9.472243E+05,3.135527E+06,1.457798E+02,4.259547E+06,1.457798E+02,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,2.122648E+01,2.450930E+05,3.871073E+05,1.041284E+01,0.000000E+00,2.061929E+01,2.104388E+05,3.813705E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,2.110917E+01,2.434512E+05,3.864996E+05,1.041284E+01,0.000000E+00,2.045731E+01,2.081719E+05,3.804620E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,9.294418E+01,0.000000E+00,1.062599E+02,1.059678E+06,2.339721E+06,9.294418E+01,0.000000E+00,1.026555E+02,7.660736E+05,2.256326E+06,9.294418E+01,2.715741E+06,9.294418E+01,0.000000E+00,0.000000E+00
03:00:00,1.457798E+02,0.000000E+00,1.457798E+02,1.272574E+06,3.087357E+06,1.457798E+02,0.000000E+00,1.457798E+02,9.063541E+05,2.999783E+06,1.457798E+02,4.259547E+06,1.457798E+02,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,2.228667E+01,2.570059E+05,3.983489E+05,1.041284E+01,0.000000E+00,2.167713E+01,2.223188E+05,3.855930E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,2.216793E+01,2.553440E+05,3.978347E+05,1.041284E+01,0.000000E+00,2.151414E+01,2.200378E+05,3.847437E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,9.294418E+01,0.000000E+00,1.161075E+02,1.211460E+06,2.598880E+06,9.294418E+01,0.000000E+00,1.125649E+02,9.167582E+05,2.458870E+06,9.294418E+01,2.715741E+06,9.294418E+01,0.000000E+00,0.000000E+00
04:00:00,1.457798E+02,0.000000E+00,1.457798E+02,1.231704E+06,3.045477E+06,1.457798E+02,0.000000E+00,1.457798E+02,8.654839E+05,2.865570E+06,1.457798E+02,4.259547E+06,1.457798E+02,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,2.303854E+01,2.645931E+05,4.060989E+05,1.041284E+01,0.000000E+00,2.242437E+01,2.298388E+05,3.864820E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,2.291681E+01,2.628879E+05,4.055925E+05,1.041284E+01,0.000000E+00,2.225827E+01,2.275124E+05,3.856117E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,9.294418E+01,0.000000E+00,1.146624E+02,1.159701E+06,2.553452E+06,9.294418E+01,0.000000E+00,1.110597E+02,8.640549E+05,2.347753E+06,9.294418E+01,2.715741E+06,9.294418E+01,0.000000E+00,0.000000E+00
05:00:00,1.457798E+02,0.000000E+00,1.457798E+02,1.204457E+06,3.017560E+06,1.457798E+02,0.000000E+00,1.457798E+02,8.382372E+05,2.776934E+06,1.457798E+02,4.259547E+06,1.457798E+02,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,2.354644E+01,2.697500E+05,4.103370E+05,1.041284E+01,0.000000E+00,2.293044E+01,2.349701E+05,3.857065E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,2.342317E+01,2.680230E+05,4.098267E+05,1.041284E+01,0.000000E+00,2.276296E+01,2.326241E+05,3.847340E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,9.294418E+01,0.000000E+00,1.185726E+02,1.209305E+06,2.644790E+06,9.294418E+01,0.000000E+00,1.149682E+02,9.136809E+05,2.400619E+06,9.294418E+01,2.715741E+06,9.294418E+01,0.000000E+00,0.000000E+00
06:00:00,1.457798E+02,0.000000E+00,1.457798E+02,1.231704E+06,3.045477E+06,1.457798E+02,0.000000E+00,1.457798E+02,8.654839E+05,2.865570E+06,1.457798E+02,4.259547E+06,1.457798E+02,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,3.371831E+01,3.939056E+05,5.395762E+05,1.041284E+01,0.000000E+00,3.303989E+01,3.588348E+05,5.191363E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,3.358388E+01,3.921375E+05,5.396743E+05,1.041284E+01,0.000000E+00,3.285760E+01,3.564380E+05,5.188015E+05,1.041284E+01,3.042534E+05,1.041284E+01,0.000000E+00,0.000000E+00,9.294418E+01,0.000000E+00,1.532740E+02,1.726547E+06,3.418634E+06,9.294418E+01,0.000000E+00,1.491911E+02,1.429190E+06,3.224037E+06,9.294418E+01,2.715741E+06,9.294418E+01,0.000000E+00,0.000000E+00
07:00:00,1.457798E+02,0.000000E+00,1.457798E+02,1.327068E+06,3.143194E+06,1.457798E+02,0.000000E+00,1.457798E+02,9.608477E+05,3.181120E+06,1.457798E+02,4.259547E+06,1.457798E+02,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,4.561629E+01,5.331937E+05,7.048352E+05,1.041284E+01,0.000000E+00,4.486505E+01,4.976627E+05,7.001348E+05,1.513123E+01,2.736392E+05,1.041284E+01,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,4.546513E+01,5.313039E+05,7.051449E+05,1.041284E+01,0.000000E+00,4.466456E+01,4.951575E+05,7.001743E+05,1.589337E+01,2.687030E+05,1.041284E+01,0.000000E+00,0.000000E+00,9.294418E+01,0.000000E+00,1.967246E+02,2.291986E+06,4.175459E+06,9.294418E+01,0.000000E+00,1.921883E+02,1.994610E+06,4.139851E+06,9.294418E+01,2.715741E+06,9.294418E+01,0.000000E+00,0.000000E+00
08:00:00,1.457798E+02,0.000000E+00,1.457798E+02,1.558665E+06,3.380507E+06,1.457798E+02,0.000000E+00,1.457798E+02,1.192445E+06,3.983458E+06,1.457798E+02,4.259547E+06,1.457798E+02,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,5.693886E+01,6.567418E+05,8.504317E+05,1.041284E+01,0.000000E+00,5.612810E+01,6.210167E+05,8.877726E+05,1.951753E+01,2.319712E+05,1.041284E+01,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,5.679806E+01,6.550705E+05,8.511125E+05,1.041284E+01,0.000000E+00,5.593480E+01,6.187256E+05,8.885133E+05,2.023540E+01,2.262832E+05,1.041284E+01,0.000000E+00,0.000000E+00,9.294418E+01,0.000000E+00,2.001847E+02,2.429844E+06,4.250250E+06,9.294418E+01,0.000000E+00,1.956025E+02,2.134405E+06,4.597314E+06,9.294418E+01,2.715741E+06,9.294418E+01,0.000000E+00,0.000000E+00
09:00:00,1.457798E+02,0.000000E+00,1.457798E+02,1.817510E+06,3.645737E+06,1.457798E+02,0.000000E+00,1.457798E+02,1.451290E+06,4.794878E+06,1.457798E+02,4.259547E+06,1.457798E+02,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,5.349786E+01,6.161124E+05,8.089303E+05,1.041284E+01,0.000000E+00,5.268523E+01,5.807552E+05,8.869172E+05,1.342956E+01,2.793355E+05,1.041284E+01,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,5.337515E+01,6.147186E+05,8.091864E+05,1.041284E+01,0.000000E+00,5.250906E+01,5.787553E+05,8.874739E+05,1.407216E+01,2.740286E+05,1.041284E+01,0.000000E+00,0.000000E+00,9.294418E+01,0.000000E+00,2.019546E+02,2.604975E+06,4.399602E+06,9.294418E+01,0.000000E+00,1.974077E+02,2.310683E+06,5.111586E+06,9.294418E+01,2.715741E+06,9.294418E+01,0.000000E+00,0.000000E+00
10:00:00,1.457798E+02,0.000000E+00,1.457798E+02,2.049107E+06,3.883047E+06,1.457798E+02,0.000000E+00,1.457798E+02,1.682887E+06,5.033950E+06,1.457798E+02,4.259547E+06,1.457798E+02,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,5.307307E+01,6.274305E+05,8.157145E+05,1.041284E+01,0.000000E+00,5.227681E+01,5.922702E+05,8.961486E+05,1.293331E+01,2.834372E+05,1.041284E+01,0.000000E+00,0.000000E+00,1.041284E+01,0.000000E+00,5.297821E+01,6.263536E+05,8.163219E+05,1.041284E+01,0.000000E+00,5.212942E+01,5.905981E+05,8.974611E+05,1.353032E+01,2.785078E+05,1.041284E+01,0.000000E+00,0.000000E+00,9.294418E+01,0.000000E+00,2.031369E+02,2.766107E+06,4.571546E+06,9.294418E+01,0.000000E+00,1.986367E+02,2.472443E+06,5.309225E+06,9.294418E+01,2.715741E+06,9.294418E+01,0.000000E+00,0.000000E+00
