Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 2 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 3 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 4 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,8.781272E+04,6.637536E+05,4.532360E+00,3.792761E+01,0.000000E+00,2.419669E+05,0.000000E+00,1.702910E+01,0.000000E+00,2.405568E+05,0.000000E+00,1.692992E+01,2.354838E+05,2.131193E+06,1.099190E+01,1.581556E+02
02:00:00,8.781185E+04,5.386231E+05,4.532309E+00,3.075358E+01,0.000000E+00,2.622679E+05,0.000000E+00,1.845781E+01,0.000000E+00,2.608172E+05,0.000000E+00,1.835580E+01,2.353162E+05,1.585806E+06,1.098272E+01,9.239995E+01
03:00:00,8.781455E+04,5.684131E+05,4.532449E+00,3.242491E+01,0.000000E+00,2.753685E+05,0.000000E+00,1.937972E+01,0.000000E+00,2.739001E+05,0.000000E+00,1.927646E+01,2.355809E+05,1.771368E+06,1.099521E+01,1.009631E+02
04:00:00,8.781423E+04,5.994021E+05,4.532435E+00,3.440436E+01,0.000000E+00,2.846397E+05,0.000000E+00,2.003351E+01,7.077738E+03,2.831319E+05,2.850151E-01,1.992766E+01,2.355361E+05,1.745869E+06,1.099358E+01,9.970647E+01
05:00:00,8.780772E+04,6.053607E+05,4.532099E+00,3.481695E+01,2.187956E+04,2.909122E+05,8.833600E-01,2.047516E+01,3.932739E+04,2.893849E+05,1.580595E+00,2.036798E+01,2.348525E+05,1.803639E+06,1.096169E+01,1.031066E+02
06:00:00,8.781891E+04,8.863973E+05,4.532684E+00,6.182945E+01,1.622432E+05,3.925852E+05,6.817515E+00,2.932027E+01,1.693147E+05,3.910232E+05,7.122565E+00,2.920337E+01,2.360536E+05,2.114257E+06,1.101936E+01,1.332817E+02
07:00:00,8.781637E+04,1.280913E+06,4.532555E+00,1.060443E+02,2.610708E+05,5.025798E+05,1.210499E+01,3.966634E+01,2.739934E+05,5.009100E+05,1.271470E+01,3.953489E+01,2.357795E+05,2.420190E+06,1.100712E+01,1.710649E+02
08:00:00,8.781463E+04,1.276800E+06,4.532464E+00,1.108995E+02,3.103459E+05,5.905779E+05,1.561402E+01,4.951205E+01,3.216684E+05,5.891005E+05,1.618832E+01,4.938962E+01,2.356227E+05,2.367733E+06,1.099934E+01,1.740736E+02
09:00:00,8.780605E+04,1.260252E+06,4.532020E+00,1.103098E+02,2.081774E+05,5.333054E+05,1.074364E+01,4.651988E+01,2.181416E+05,5.320724E+05,1.125773E+01,4.641318E+01,2.346591E+05,2.366368E+06,1.095426E+01,1.756127E+02
10:00:00,8.781215E+04,1.249079E+06,4.532310E+00,1.094575E+02,2.004963E+05,5.285982E+05,1.034665E+01,4.615050E+01,2.097557E+05,5.276455E+05,1.082426E+01,4.606800E+01,2.351637E+05,2.376620E+06,1.097308E+01,1.766408E+02
