Time,ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Heat Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Sens Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Tot Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Heat Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Sens Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Tot Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Heat Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Sens Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Tot Cool Cap [W]
01:00:00,4.554678E-02,1.390251E+03,5.366821E-02,4.040126E+02,2.366906E+02,4.554678E-02,1.651129E+03,4.554678E-02,5.246038E+01,5.054789E+02,2.484708E-01,9.041613E+03,4.554678E-02,0.000000E+00,0.000000E+00
02:00:00,4.554678E-02,1.418078E+03,4.554678E-02,2.855114E+02,1.031041E+02,4.554678E-02,1.678956E+03,4.554678E-02,2.463339E+01,4.204556E+02,2.484736E-01,9.041695E+03,4.554678E-02,0.000000E+00,0.000000E+00
03:00:00,4.554678E-02,1.438948E+03,4.554678E-02,2.646411E+02,8.188946E+01,4.554678E-02,1.699826E+03,4.554678E-02,3.763152E+00,3.580515E+02,2.484763E-01,9.041773E+03,4.554678E-02,0.000000E+00,0.000000E+00
04:00:00,4.554678E-02,1.459818E+03,4.554678E-02,2.437709E+02,6.067439E+01,4.554678E-02,1.720696E+03,4.554678E-02,0.000000E+00,2.967839E+02,2.484789E-01,9.041848E+03,4.554678E-02,0.000000E+00,0.000000E+00
05:00:00,4.554678E-02,1.473732E+03,4.554678E-02,2.298574E+02,4.653139E+01,4.554678E-02,1.734610E+03,4.554678E-02,0.000000E+00,2.565563E+02,2.484813E-01,9.041920E+03,4.554678E-02,0.000000E+00,0.000000E+00
06:00:00,4.554678E-02,1.459818E+03,5.963671E-02,4.010914E+02,2.565868E+02,4.554678E-02,1.720696E+03,4.554678E-02,0.000000E+00,2.967839E+02,2.484837E-01,9.041988E+03,4.554678E-02,0.000000E+00,0.000000E+00
07:00:00,4.554678E-02,1.411121E+03,1.042799E-01,9.481797E+02,9.140059E+02,4.554678E-02,1.671999E+03,4.554678E-02,3.159014E+01,4.415145E+02,2.484859E-01,9.042053E+03,4.554678E-02,0.000000E+00,0.000000E+00
08:00:00,4.554678E-02,1.292856E+03,1.573529E-01,1.658793E+03,1.691321E+03,4.554678E-02,1.553734E+03,8.629496E-02,6.044736E+02,1.646525E+03,2.484881E-01,9.042115E+03,4.554678E-02,0.000000E+00,0.000000E+00
09:00:00,4.554678E-02,1.160678E+03,2.208439E-01,2.499622E+03,2.548393E+03,4.554678E-02,1.421556E+03,1.425794E-01,1.363794E+03,2.841284E+03,2.484901E-01,9.042175E+03,4.554678E-02,0.000000E+00,0.000000E+00
10:00:00,4.554678E-02,1.042414E+03,2.726194E-01,3.196019E+03,3.230396E+03,4.554678E-02,1.303292E+03,1.981451E-01,2.101368E+03,3.507755E+03,2.484921E-01,9.042232E+03,4.554678E-02,0.000000E+00,0.000000E+00
11:00:00,4.554678E-02,9.380623E+02,3.075005E-01,3.689929E+03,3.718729E+03,4.554678E-02,1.198940E+03,2.334371E-01,2.600008E+03,3.789083E+03,2.484939E-01,9.042286E+03,4.554678E-02,0.000000E+00,0.000000E+00
12:00:00,4.554678E-02,8.684949E+02,3.207449E-01,3.907461E+03,3.932124E+03,4.554678E-02,1.129373E+03,2.473891E-01,2.826041E+03,3.926918E+03,2.484957E-01,9.042338E+03,4.554678E-02,0.000000E+00,0.000000E+00
13:00:00,4.554678E-02,8.128409E+02,3.334309E-01,4.104804E+03,4.133028E+03,4.554678E-02,1.073719E+03,2.603212E-01,3.026439E+03,4.144798E+03,2.484974E-01,9.042387E+03,4.554678E-02,0.000000E+00,0.000000E+00
14:00:00,4.554678E-02,7.780572E+02,3.562092E-01,4.393915E+03,4.433483E+03,4.554678E-02,1.038935E+03,2.825996E-01,3.309932E+03,4.472006E+03,2.484991E-01,9.042435E+03,4.554678E-02,0.000000E+00,0.000000E+00
15:00:00,4.554678E-02,7.780572E+02,3.662089E-01,4.505554E+03,4.543774E+03,4.554678E-02,1.038935E+03,2.924494E-01,3.419828E+03,4.564714E+03,2.485006E-01,9.042480E+03,4.554678E-02,0.000000E+00,0.000000E+00
16:00:00,4.554678E-02,8.197976E+02,3.521540E-01,4.306913E+03,4.329775E+03,4.554678E-02,1.080676E+03,2.788351E-01,3.226234E+03,4.306884E+03,2.485021E-01,9.042523E+03,4.554678E-02,0.000000E+00,0.000000E+00
17:00:00,4.554678E-02,8.754516E+02,3.229023E-01,3.924708E+03,3.930054E+03,4.554678E-02,1.136330E+03,2.504069E-01,2.853469E+03,3.873746E+03,2.485035E-01,9.042565E+03,4.554678E-02,0.000000E+00,0.000000E+00
