Time,ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,6.095839E+03,1.463547E+03,2.068765E-01,1.290547E-01
02:00:00,6.095840E+03,1.345201E+03,2.068765E-01,1.186189E-01
03:00:00,6.095840E+03,1.241094E+03,2.068765E-01,1.094388E-01
04:00:00,6.095840E+03,1.142171E+03,2.068765E-01,1.007159E-01
05:00:00,6.095840E+03,1.056267E+03,2.068765E-01,9.314092E-02
06:00:00,6.095841E+03,1.380558E+03,2.068765E-01,1.217367E-01
07:00:00,6.095841E+03,1.932462E+03,2.068766E-01,1.704090E-01
08:00:00,6.095841E+03,2.507882E+03,2.068766E-01,2.211564E-01
09:00:00,6.095841E+03,3.068769E+03,2.068766E-01,2.706169E-01
10:00:00,6.095842E+03,3.589405E+03,2.068766E-01,3.165240E-01
11:00:00,6.095842E+03,3.953847E+03,2.068766E-01,3.486572E-01
12:00:00,6.095842E+03,4.119266E+03,2.068766E-01,3.632411E-01
13:00:00,6.095842E+03,4.286089E+03,2.068766E-01,3.779489E-01
14:00:00,6.095842E+03,4.549893E+03,2.068766E-01,4.012102E-01
15:00:00,6.095843E+03,4.681707E+03,2.068766E-01,4.128339E-01
16:00:00,6.095843E+03,4.579529E+03,2.068766E-01,4.038229E-01
17:00:00,6.095843E+03,4.326960E+03,2.068766E-01,3.815494E-01
18:00:00,6.095843E+03,3.982600E+03,2.068766E-01,3.511823E-01
19:00:00,6.095843E+03,3.315334E+03,2.068766E-01,2.923425E-01
20:00:00,6.095843E+03,2.435184E+03,2.068766E-01,2.147304E-01
21:00:00,6.095843E+03,2.096808E+03,2.068766E-01,1.848913E-01
22:00:00,6.095844E+03,1.906416E+03,2.068766E-01,1.681046E-01
23:00:00,6.095844E+03,1.751775E+03,2.068766E-01,1.544700E-01
24:00:00,6.095844E+03,1.602766E+03,2.068766E-01,1.413309E-01
Peak,6.095844E+03,4.681707E+03,2.068766E-01,4.128339E-01

Peak Vol Flow (m3/s),,,2.143618E-01,4.277710E-01
