Time,ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Heat Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Sens Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 1:Des Tot Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Heat Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Sens Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 2:Des Tot Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Heat Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Sens Cool Cap [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND PSZ-AC:DesPer 3:Des Tot Cool Cap [W]
01:00:00,9.109355E-02,2.780502E+03,1.001839E-01,7.281599E+02,3.875680E+02,9.109355E-02,3.302258E+03,9.109355E-02,1.049208E+02,1.010958E+03,3.828143E-01,1.476858E+04,9.109355E-02,0.000000E+00,0.000000E+00
02:00:00,9.109355E-02,2.836156E+03,9.109355E-02,5.710228E+02,2.062081E+02,9.109355E-02,3.357912E+03,9.109355E-02,4.926678E+01,8.409112E+02,3.828170E-01,1.476865E+04,9.109355E-02,0.000000E+00,0.000000E+00
03:00:00,9.109355E-02,2.877896E+03,9.109355E-02,5.292823E+02,1.637789E+02,9.109355E-02,3.399652E+03,9.109355E-02,7.526305E+00,7.161031E+02,3.828195E-01,1.476873E+04,9.109355E-02,0.000000E+00,0.000000E+00
04:00:00,9.109355E-02,2.919637E+03,9.109355E-02,4.875418E+02,1.213488E+02,9.109355E-02,3.441393E+03,9.109355E-02,0.000000E+00,5.935679E+02,3.828219E-01,1.476880E+04,9.109355E-02,0.000000E+00,0.000000E+00
05:00:00,9.109355E-02,2.947464E+03,9.109355E-02,4.597148E+02,9.306278E+01,9.109355E-02,3.469220E+03,9.109355E-02,0.000000E+00,5.131126E+02,3.828242E-01,1.476887E+04,9.109355E-02,0.000000E+00,0.000000E+00
06:00:00,9.109355E-02,2.919637E+03,1.098510E-01,6.969654E+02,4.016111E+02,9.109355E-02,3.441393E+03,9.109355E-02,0.000000E+00,5.935679E+02,3.828265E-01,1.476893E+04,9.109355E-02,0.000000E+00,0.000000E+00
07:00:00,9.109355E-02,2.822242E+03,1.719848E-01,1.487956E+03,1.410959E+03,9.109355E-02,3.343998E+03,9.945197E-02,1.564910E+02,1.127867E+03,3.828286E-01,1.476899E+04,9.109355E-02,0.000000E+00,0.000000E+00
08:00:00,9.109355E-02,2.585713E+03,2.592252E-01,2.698011E+03,2.816255E+03,9.109355E-02,3.107469E+03,1.539648E-01,1.000972E+03,2.952262E+03,3.828306E-01,1.476905E+04,9.109355E-02,0.000000E+00,0.000000E+00
09:00:00,9.109355E-02,2.321356E+03,3.488932E-01,3.963019E+03,4.126205E+03,9.109355E-02,2.843112E+03,2.417825E-01,2.243616E+03,4.771383E+03,3.828325E-01,1.476911E+04,9.109355E-02,0.000000E+00,0.000000E+00
10:00:00,9.109355E-02,2.084827E+03,4.352068E-01,5.163165E+03,5.301760E+03,9.109355E-02,2.606583E+03,3.269879E-01,3.429889E+03,5.880628E+03,3.828344E-01,1.476916E+04,9.109355E-02,0.000000E+00,0.000000E+00
