Time,ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,8.480444E+03,2.004815E+03,2.877949E-01,1.768013E-01
02:00:00,8.480445E+03,1.873712E+03,2.877949E-01,1.652395E-01
03:00:00,8.480445E+03,1.762089E+03,2.877950E-01,1.553958E-01
04:00:00,8.480446E+03,1.656090E+03,2.877950E-01,1.460482E-01
05:00:00,8.480446E+03,1.566521E+03,2.877950E-01,1.381494E-01
06:00:00,8.480447E+03,2.067417E+03,2.877950E-01,1.823231E-01
07:00:00,8.480447E+03,2.977150E+03,2.877950E-01,2.625695E-01
08:00:00,8.480447E+03,3.960198E+03,2.877950E-01,3.492878E-01
09:00:00,8.480448E+03,4.914389E+03,2.877950E-01,4.334462E-01
10:00:00,8.480448E+03,5.779383E+03,2.877950E-01,5.097204E-01
11:00:00,8.480448E+03,6.368121E+03,2.877951E-01,5.616253E-01
12:00:00,8.480449E+03,6.617508E+03,2.877951E-01,5.836051E-01
13:00:00,8.480449E+03,6.833873E+03,2.877951E-01,6.026760E-01
14:00:00,8.480449E+03,7.166145E+03,2.877951E-01,6.319740E-01
15:00:00,8.480449E+03,7.276010E+03,2.877951E-01,6.416624E-01
16:00:00,8.480450E+03,7.004532E+03,2.877951E-01,6.177182E-01
17:00:00,8.480450E+03,6.489772E+03,2.877951E-01,5.723167E-01
18:00:00,8.480450E+03,5.830960E+03,2.877951E-01,5.142132E-01
19:00:00,8.480450E+03,4.704415E+03,2.877951E-01,4.148644E-01
20:00:00,8.480451E+03,3.307563E+03,2.877951E-01,2.916774E-01
21:00:00,8.480451E+03,2.785979E+03,2.877951E-01,2.456770E-01
22:00:00,8.480451E+03,2.527427E+03,2.877951E-01,2.228812E-01
23:00:00,8.480451E+03,2.339818E+03,2.877952E-01,2.063414E-01
24:00:00,8.480451E+03,2.165180E+03,2.877952E-01,1.909430E-01
Peak,8.480451E+03,7.276010E+03,2.877952E-01,6.416624E-01

Peak Vol Flow (m3/s),,,2.982081E-01,6.648789E-01
