Time,BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W]
01:00:00,1.416319E+01,3.968452E+05,1.416319E+01,1.329016E+05,3.094449E+05,1.416319E+01,4.324252E+05,1.416319E+01,9.732160E+04,3.224508E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
02:00:00,1.416319E+01,4.021395E+05,1.416319E+01,1.276073E+05,3.040198E+05,1.416319E+01,4.377195E+05,1.416319E+01,9.202730E+04,3.046312E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
03:00:00,1.416319E+01,4.061102E+05,1.416319E+01,1.236366E+05,2.999513E+05,1.416319E+01,4.416902E+05,1.416319E+01,8.805657E+04,2.914430E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
04:00:00,1.416319E+01,4.100809E+05,1.416319E+01,1.196658E+05,2.958825E+05,1.416319E+01,4.456609E+05,1.416319E+01,8.408584E+04,2.784036E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
05:00:00,1.416319E+01,4.127281E+05,1.416319E+01,1.170187E+05,2.931702E+05,1.416319E+01,4.483081E+05,1.416319E+01,8.143868E+04,2.697922E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
06:00:00,1.416319E+01,4.100809E+05,1.416319E+01,1.196658E+05,2.958825E+05,1.416319E+01,4.456609E+05,1.416319E+01,8.408584E+04,2.784036E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
07:00:00,1.416319E+01,4.008159E+05,1.653355E+01,1.570880E+05,3.586665E+05,1.416319E+01,4.363959E+05,1.629364E+01,1.186516E+05,3.575093E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
08:00:00,1.416319E+01,3.783151E+05,1.702482E+01,1.836393E+05,3.821308E+05,1.416319E+01,4.138951E+05,1.678707E+01,1.453817E+05,4.366919E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
09:00:00,1.416319E+01,3.531672E+05,1.734543E+01,2.123350E+05,4.102100E+05,1.416319E+01,3.887472E+05,1.711216E+01,1.741319E+05,5.182912E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
10:00:00,1.416319E+01,3.306664E+05,1.739421E+01,2.353649E+05,4.341352E+05,1.416319E+01,3.662464E+05,1.716073E+01,1.971605E+05,5.425018E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
11:00:00,1.416319E+01,3.108127E+05,1.723637E+01,2.534369E+05,4.519648E+05,1.416319E+01,3.463927E+05,1.700470E+01,2.152529E+05,5.604698E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
12:00:00,1.416319E+01,2.975770E+05,1.696490E+01,2.636201E+05,4.606763E+05,1.416319E+01,3.331570E+05,1.673545E+01,2.254612E+05,5.692386E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
13:00:00,1.416319E+01,2.869883E+05,1.699409E+01,2.745346E+05,4.722064E+05,1.416319E+01,3.225684E+05,1.676478E+01,2.363775E+05,5.808340E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
14:00:00,1.416319E+01,2.803705E+05,1.730048E+01,2.845895E+05,4.844631E+05,1.416319E+01,3.159505E+05,1.706989E+01,2.464176E+05,5.931736E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
15:00:00,1.416319E+01,2.803705E+05,1.757435E+01,2.876606E+05,4.889943E+05,1.416319E+01,3.159505E+05,1.734317E+01,2.494817E+05,5.977618E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
16:00:00,1.416319E+01,2.883119E+05,1.771424E+01,2.812882E+05,4.829465E+05,1.416319E+01,3.238919E+05,1.748314E+01,2.431101E+05,5.917034E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
17:00:00,1.416319E+01,2.989005E+05,1.773910E+01,2.709794E+05,4.723386E+05,1.416319E+01,3.344805E+05,1.750807E+01,2.328020E+05,5.810401E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
18:00:00,1.416319E+01,3.121363E+05,1.751372E+01,2.552155E+05,4.548110E+05,1.416319E+01,3.477163E+05,1.728361E+01,2.170487E+05,5.634005E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
19:00:00,1.416319E+01,3.319899E+05,1.686771E+01,2.281129E+05,4.233653E+05,1.416319E+01,3.675699E+05,1.664022E+01,1.899763E+05,5.317282E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
