Time,BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 1:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 2:Des Tot Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Heat Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Cool Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Sens Cool Cap [W],BUILDING STORY 1 THERMALZONE PSZ-AC:DesPer 3:Des Tot Cool Cap [W]
01:00:00,1.416319E+01,3.968452E+05,1.416319E+01,1.329016E+05,3.094449E+05,1.416319E+01,4.324252E+05,1.416319E+01,9.732160E+04,3.224508E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
02:00:00,1.416319E+01,4.021395E+05,1.416319E+01,1.276073E+05,3.040198E+05,1.416319E+01,4.377195E+05,1.416319E+01,9.202730E+04,3.046312E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
03:00:00,1.416319E+01,4.061102E+05,1.416319E+01,1.236366E+05,2.999513E+05,1.416319E+01,4.416902E+05,1.416319E+01,8.805657E+04,2.914430E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
04:00:00,1.416319E+01,4.100809E+05,1.416319E+01,1.196658E+05,2.958825E+05,1.416319E+01,4.456609E+05,1.416319E+01,8.408584E+04,2.784036E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
05:00:00,1.416319E+01,4.127281E+05,1.416319E+01,1.170187E+05,2.931702E+05,1.416319E+01,4.483081E+05,1.416319E+01,8.143868E+04,2.697922E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
06:00:00,1.416319E+01,4.100809E+05,1.416319E+01,1.196658E+05,2.958825E+05,1.416319E+01,4.456609E+05,1.416319E+01,8.408584E+04,2.784036E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
07:00:00,1.416319E+01,4.008159E+05,1.541755E+01,1.438895E+05,3.363362E+05,1.416319E+01,4.363959E+05,1.513846E+01,1.049792E+05,3.334598E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
08:00:00,1.416319E+01,3.783151E+05,1.648880E+01,1.776078E+05,3.777647E+05,1.416319E+01,4.138951E+05,1.624605E+01,1.392952E+05,4.317197E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
09:00:00,1.416319E+01,3.531672E+05,1.761139E+01,2.152969E+05,4.138146E+05,1.416319E+01,3.887472E+05,1.737779E+01,1.770917E+05,5.219951E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
10:00:00,1.416319E+01,3.306664E+05,1.742774E+01,2.357314E+05,4.337399E+05,1.416319E+01,3.662464E+05,1.719412E+01,1.975261E+05,5.421415E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
11:00:00,1.416319E+01,3.108127E+05,1.724897E+01,2.535772E+05,4.522941E+05,1.416319E+01,3.463927E+05,1.701717E+01,2.153920E+05,5.607912E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
12:00:00,1.416319E+01,2.975770E+05,1.697211E+01,2.637000E+05,4.609248E+05,1.416319E+01,3.331570E+05,1.674257E+01,2.255404E+05,5.694830E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
13:00:00,1.416319E+01,2.869883E+05,1.699854E+01,2.745836E+05,4.722714E+05,1.416319E+01,3.225684E+05,1.676919E+01,2.364261E+05,5.809010E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
14:00:00,1.416319E+01,2.803705E+05,1.730309E+01,2.846183E+05,4.844820E+05,1.416319E+01,3.159505E+05,1.707248E+01,2.464462E+05,5.931936E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
15:00:00,1.416319E+01,2.803705E+05,1.757583E+01,2.876771E+05,4.890160E+05,1.416319E+01,3.159505E+05,1.734464E+01,2.494981E+05,5.977835E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
16:00:00,1.416319E+01,2.883119E+05,1.771512E+01,2.812979E+05,4.829630E+05,1.416319E+01,3.238919E+05,1.748401E+01,2.431198E+05,5.917200E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
17:00:00,1.416319E+01,2.989005E+05,1.773963E+01,2.709853E+05,4.723469E+05,1.416319E+01,3.344805E+05,1.750859E+01,2.328079E+05,5.810486E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
18:00:00,1.416319E+01,3.121363E+05,1.751404E+01,2.552190E+05,4.548153E+05,1.416319E+01,3.477163E+05,1.728392E+01,2.170522E+05,5.634049E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
19:00:00,1.416319E+01,3.319899E+05,1.686790E+01,2.281149E+05,4.233681E+05,1.416319E+01,3.675699E+05,1.664041E+01,1.899783E+05,5.317311E+05,1.416319E+01,9.435818E+05,1.416319E+01,0.000000E+00,0.000000E+00
