Time,BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BUILDING STORY 1 THERMALZONE:BUFFALO NIAGARA INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,3.610114E+04,7.710354E+04,1.220559E+00,4.411602E+00
02:00:00,3.610114E+04,8.650133E+04,1.220559E+00,4.925957E+00
03:00:00,3.610114E+04,7.987198E+04,1.220559E+00,4.568385E+00
04:00:00,3.610114E+04,8.285299E+04,1.220559E+00,4.743963E+00
05:00:00,3.610114E+04,8.321283E+04,1.220559E+00,4.771204E+00
06:00:00,3.610114E+04,9.305552E+04,1.220559E+00,5.403049E+00
07:00:00,3.610114E+04,1.657665E+05,1.220559E+00,1.340657E+01
08:00:00,3.610114E+04,1.639181E+05,1.220559E+00,1.433809E+01
09:00:00,3.610114E+04,1.746531E+05,1.220559E+00,1.531425E+01
10:00:00,3.610114E+04,1.728120E+05,1.220559E+00,1.515455E+01
11:00:00,3.610114E+04,1.710353E+05,1.220559E+00,1.499910E+01
12:00:00,3.610114E+04,1.682647E+05,1.220559E+00,1.475836E+01
13:00:00,3.610114E+04,1.685180E+05,1.220559E+00,1.478134E+01
14:00:00,3.610114E+04,1.715293E+05,1.220559E+00,1.504617E+01
15:00:00,3.610114E+04,1.742218E+05,1.220559E+00,1.528333E+01
16:00:00,3.610114E+04,1.755987E+05,1.220559E+00,1.540445E+01
17:00:00,3.610114E+04,1.758455E+05,1.220559E+00,1.542577E+01
18:00:00,3.610114E+04,1.736155E+05,1.220559E+00,1.522960E+01
19:00:00,3.610114E+04,1.672189E+05,1.220559E+00,1.466774E+01
20:00:00,3.610114E+04,1.566312E+05,1.220559E+00,1.373801E+01
21:00:00,3.610114E+04,1.519789E+05,1.220559E+00,1.332899E+01
22:00:00,3.610114E+04,1.502061E+05,1.220559E+00,1.317471E+01
23:00:00,3.610114E+04,1.490446E+05,1.220559E+00,1.307451E+01
24:00:00,3.610114E+04,1.481158E+05,1.220559E+00,1.299414E+01
Peak,3.610114E+04,1.758455E+05,1.220559E+00,1.542577E+01

Peak Vol Flow (m3/s),,,1.039725E+00,1.314033E+01
