Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature,ElectricityProduced:Total,Electricity:Load:Total,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid
126.50549863251142,0,384.98524185803035,0,0,0,0,0,0,0,0,0,0,0.0,27.4562,27.4562,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
93.68453048726082,0,27.803716333000068,0,0,0,0,0,0,0,0,0,0,0.0,30.7177,30.7177,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
104.81312611546184,0,37.56317510147665,0,0,0,0,0,0,0,0,0,0,0.0,27.4044,27.4044,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
93.50784579171574,0,25.042116734317766,0,0,0,0,0,0,0,0,0,0,0.0,71.4146,71.4146,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
243.67689067133026,0,689.1579873856539,0,0,0,0,0,0,0,0,0,0,0.0,62.139,62.139,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
212.02703172468824,0,150.2527004059066,0,0,0,0,0,0,0,0,0,0,0.0,74.8669,74.8669,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
255.45655959507496,0,503.9677218910401,0,0,0,0,0,0,0,0,0,0,0.0,134.546,134.546,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
459.08984783840805,0,906.6662727522108,0,0,0,0,0,0,0,0,0,0,0.0,135.94,135.94,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
463.84653814655803,0,986.0640605181301,0,0,0,0,0,0,0,0,0,0,3.07302,141.866,138.793,0,0,0,0,0,0,0,0,3.07302,0,3.07302,0.0,0,0,0,0
484.0658645885824,0,928.6055029907826,0,0,0,0,0,0,0,0,0,0,14.9498,169.022,154.072,0,0,0,0,0,0,0,0,14.9498,0,14.9498,0.0,0,0,0,0
576.725735107377,0,951.7227398452079,0,0,0,0,0,0,0,0,0,0,98.7104,180.38,81.6693,0,0,0,0,0,0,0,0,98.7104,0,98.7104,0.0,0,0,0,0
615.4811736833637,0,881.2376929656828,0,0,0,0,0,0,0,0,0,0,21.3035,172.257,150.953,0,0,0,0,0,0,0,0,21.3035,0,21.3035,0.0,0,0,0,0
587.7653532639866,0,720.3631262329462,0,0,0,0,0,0,0,0,0,0,14.2023,164.165,149.962,0,0,0,0,0,0,0,0,14.2023,0,14.2023,0.0,0,0,0,0
560.1534589498093,0,723.288105839867,0,0,0,0,0,0,0,0,0,0,30.398,156.062,125.664,0,0,0,0,0,0,0,0,30.398,0,30.398,0.0,0,0,0,0
532.505547243565,0,817.4878041395008,0,0,0,0,0,0,0,0,0,0,0.415273,156.059,155.644,0,0,0,0,0,0,0,0,0.415273,0,0.415273,0.0,0,0,0,0
532.4958059185446,0,886.9414738681953,0,0,0,0,0,0,0,0,0,0,0.0,165.848,165.848,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
565.8959161178589,0,906.2829449440488,0,0,0,0,0,0,0,0,0,0,0.0,184.886,184.886,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
630.8581638453059,0,851.4220167773409,0,0,0,0,0,0,0,0,0,0,0.0,183.393,183.393,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
625.7614548502634,0,799.819013008077,0,0,0,0,0,0,0,0,0,0,0.0,178.089,178.089,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
607.6664628231356,0,785.7025747748264,0,0,0,0,0,0,0,0,0,0,0.0,168.485,168.485,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
574.8958425081181,0,790.4087659862638,0,0,0,0,0,0,0,0,0,0,0.0,163.335,163.335,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
557.3209908969732,0,887.7105435222117,0,0,0,0,0,0,0,0,0,0,0.0,114.326,114.326,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
390.09670376853177,0,914.268807200439,0,0,0,0,0,0,0,0,0,0,0.0,80.2612,80.2612,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
273.86277361849795,0,925.5210883484227,0,0,0,0,0,0,0,0,0,0,0.0,37.0704,37.0704,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
126.48960424383844,0,385.05338245168565,0,0,0,0,0,0,0,0,0,0,0.0,27.4562,27.4562,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
93.68449101704451,0,35.983888372060925,0,0,0,0,0,0,0,0,0,0,0.0,30.7177,30.7177,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
104.81321945273449,0,37.56317510147665,0,0,0,0,0,0,0,0,0,0,0.0,27.4562,27.4562,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
93.6843288128814,0,25.042116734317766,0,0,0,0,0,0,0,0,0,0,0.0,71.3629,71.3629,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
243.50029856606264,0,688.716118552231,0,0,0,0,0,0,0,0,0,0,0.0,62.139,62.139,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
212.02698138146732,0,150.2527004059066,0,0,0,0,0,0,0,0,0,0,0.0,74.8669,74.8669,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
255.45658949215178,0,504.03459508355866,0,0,0,0,0,0,0,0,0,0,0.0,134.559,134.559,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
459.1343799943688,0,944.8663331495171,0,0,0,0,0,0,0,0,0,0,41.2782,135.997,94.7189,0,0,0,0,0,0,0,0,41.2782,0,41.2782,0.0,0,0,0,0
464.04115177871086,0,990.8374595124138,0,0,0,0,0,0,0,0,0,0,113.951,141.872,27.9206,0,0,0,0,0,0,0,0,113.951,0,113.951,0.0,0,0,0,0
484.08611951878316,0,941.8920523659691,0,0,0,0,0,0,0,0,0,0,109.051,169.003,59.9527,0,0,0,0,0,0,0,0,109.051,0,109.051,0.0,0,0,0,0
576.663793763343,0,976.1617743725062,0,0,0,0,0,0,0,0,0,0,115.529,180.459,64.9305,0,0,0,0,0,0,0,0,115.529,0,115.529,0.0,0,0,0,0
615.7534693767063,0,878.5063052515796,0,0,0,0,0,0,0,0,0,0,99.7901,172.256,72.466,0,0,0,0,0,0,0,0,99.7901,0,99.7901,0.0,0,0,0,0
587.7624057925964,0,733.8915717096705,0,0,0,0,0,0,0,0,0,0,140.321,164.178,23.8575,0,0,0,0,0,0,0,0,140.321,0,140.321,0.0,0,0,0,0
560.1995898066475,0,747.7762833785786,0,0,0,0,0,0,0,0,0,0,155.105,156.061,0.956261,0,0,0,0,0,0,0,0,155.105,0,155.105,0.0,0,0,0,0
532.5016434576952,0,828.2483763233054,0,0,0,0,0,0,0,0,0,0,88.4947,156.021,67.5268,0,0,0,0,0,0,0,0,88.4947,0,88.4947,0.0,0,0,0,0
532.3675557820275,0,912.1309284381616,0,0,0,0,0,0,0,0,0,0,19.4763,165.857,146.38,0,0,0,0,0,0,0,0,19.4763,0,19.4763,0.0,0,0,0,0
565.9263264627368,0,931.1247589109379,0,0,0,0,0,0,0,0,0,0,0.0,184.806,184.806,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
630.5855978237995,0,884.6539993387801,0,0,0,0,0,0,0,0,0,0,0.0,182.901,182.901,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
624.0839031130798,0,794.4912312077222,0,0,0,0,0,0,0,0,0,0,0.0,178.089,178.089,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
607.6664628231356,0,802.557276863323,0,0,0,0,0,0,0,0,0,0,0.0,168.486,168.486,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
574.8998812642752,0,808.7283513267436,0,0,0,0,0,0,0,0,0,0,0.0,163.395,163.395,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
557.5285907332031,0,910.0918444299983,0,0,0,0,0,0,0,0,0,0,0.0,114.314,114.314,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
390.0541270667622,0,944.8872453176346,0,0,0,0,0,0,0,0,0,0,0.0,80.2114,80.2114,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
273.6926080292968,0,956.7955918917095,0,0,0,0,0,0,0,0,0,0,0.0,37.0944,37.0944,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
126.5713985656382,0,388.8198528299223,0,0,0,0,0,0,0,0,0,0,0.0,27.4334,27.4334,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
93.6065976628551,0,25.042116734317766,0,0,0,0,0,0,0,0,0,0,0.0,30.7177,30.7177,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
104.81312953902027,0,50.109647701380105,0,0,0,0,0,0,0,0,0,0,0.0,27.4562,27.4562,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
93.68451684871833,0,25.042116734317766,0,0,0,0,0,0,0,0,0,0,0.0,71.4146,71.4146,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
243.67680657143788,0,804.7680246307796,0,0,0,0,0,0,0,0,0,0,0.0,62.1389,62.1389,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
212.02694817710474,0,150.2527004059066,0,0,0,0,0,0,0,0,0,0,0.0,74.8152,74.8152,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
255.2800062573307,0,500.3377765325006,0,0,0,0,0,0,0,0,0,0,0.0,134.578,134.578,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0
459.1983111139428,0,1069.571204944353,0,0,0,0,0,0,0,0,0,0,43.6452,136.109,92.4634,0,0,0,0,0,0,0,0,43.6452,0,43.6452,0.0,0,0,0,0
464.4219971527527,0,1113.4280685736555,0,0,0,0,0,0,0,0,0,0,114.906,141.882,26.976,0,0,0,0,0,0,0,0,114.906,0,114.906,0.0,0,0,0,0
484.12191865842624,0,1115.5226953792198,0,0,0,0,0,0,0,0,0,0,165.196,168.991,3.79575,0,0,0,0,0,0,0,0,165.196,0,165.196,0.0,0,0,0,0
576.6227857880311,0,1138.1716350479064,0,0,0,0,0,0,0,0,0,0,193.933,180.472,0.0,0,0,0,0,0,0,0,0,193.933,0,180.472,13.461,0,0,0,0
615.7945467923189,0,1042.93720369581,0,0,0,0,0,0,0,0,0,0,206.308,172.273,0.0,0,0,0,0,0,0,0,0,206.308,0,172.273,34.0347,0,0,0,0
587.8199469637074,0,914.3159885012227,0,0,0,0,0,0,0,0,0,0,187.579,164.172,0.0,0,0,0,0,0,0,0,0,187.579,0,164.172,23.4073,0,0,0,0
560.1768988545307,0,940.9826123490233,0,0,0,0,0,0,0,0,0,0,91.4847,156.041,64.5568,0,0,0,0,0,0,0,0,91.4847,0,91.4847,0.0,0,0,0,0
532.4358117611052,0,1031.141642180199,0,0,0,0,0,0,0,0,0,0,82.3902,156.036,73.6459,0,0,0,0,0,0,0,0,82.3902,0,82.3902,0.0,0,0,0,0
532.4172589120363,0,1133.5261509992713,0,0,0,0,0,0,0,0,0,0,14.9498,165.876,150.926,0,0,0,0,0,0,0,0,14.9498,0,14.9498,0.0,0,0,0,0
