Time,ZONE OFFICE WHOLEBUILDING - SM OFFICE A  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE A  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE A  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE A  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE A END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE A END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE A END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE A END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE A END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE A END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE A END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE A END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE B  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE B  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE B  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE B  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE B END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE B END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE B END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE B END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE B END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE B END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE B END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE B END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE C  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE C  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE C  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE C  - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE C END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE C END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE C END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE C END_A - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE C END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE C END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Sens Cool Load [W],ZONE OFFICE WHOLEBUILDING - SM OFFICE C END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN HTG 99.6% CONDNS DB 1:Des Heat Mass Flow [kg/s],ZONE OFFICE WHOLEBUILDING - SM OFFICE C END_B - STORY GROUND:DENVER CENTENNIAL  GOLDEN   N ANN CLG .4% CONDNS DB=>MWB 1:Des Cool Mass Flow [kg/s]
01:00:00,2.155270E+03,7.549637E+02,7.315159E-02,6.657570E-02,1.402046E+03,3.756874E+02,4.758297E-02,3.312732E-02,1.404286E+03,3.440245E+02,4.765898E-02,3.033536E-02,9.614457E+02,7.122454E+02,3.263622E-02,6.281438E-02,8.980650E+02,3.583085E+02,3.048139E-02,3.159653E-02,9.002959E+02,3.265238E+02,3.055711E-02,2.879374E-02,2.143270E+03,6.915939E+02,7.274429E-02,6.098768E-02,1.401226E+03,3.502890E+02,4.755512E-02,3.088776E-02,1.403474E+03,3.187361E+02,4.763143E-02,2.810550E-02
02:00:00,2.155270E+03,7.135035E+02,7.315158E-02,6.291968E-02,1.402046E+03,3.464012E+02,4.758296E-02,3.054491E-02,1.404286E+03,3.168011E+02,4.765898E-02,2.793486E-02,9.614457E+02,6.918777E+02,3.263622E-02,6.101848E-02,8.980649E+02,3.378152E+02,3.048139E-02,2.978942E-02,9.002959E+02,3.080801E+02,3.055711E-02,2.716737E-02,2.143270E+03,6.542737E+02,7.274429E-02,5.769672E-02,1.401226E+03,3.226464E+02,4.755512E-02,2.845028E-02,1.403474E+03,2.931549E+02,4.763143E-02,2.584979E-02
03:00:00,2.155270E+03,6.773963E+02,7.315158E-02,5.973573E-02,1.402046E+03,3.204577E+02,4.758296E-02,2.825728E-02,1.404286E+03,2.929570E+02,4.765898E-02,2.583234E-02,9.614456E+02,6.743031E+02,3.263622E-02,5.946884E-02,8.980648E+02,3.196139E+02,3.048138E-02,2.818443E-02,9.002958E+02,2.919476E+02,3.055711E-02,2.574482E-02,2.143270E+03,6.219714E+02,7.274428E-02,5.484829E-02,1.401226E+03,2.982132E+02,4.755512E-02,2.629581E-02,1.403474E+03,2.708233E+02,4.763143E-02,2.388065E-02
04:00:00,2.155270E+03,6.436527E+02,7.315157E-02,5.676021E-02,1.402046E+03,2.958377E+02,4.758296E-02,2.608635E-02,1.404286E+03,2.703831E+02,4.765898E-02,2.384183E-02,9.614456E+02,6.587096E+02,3.263622E-02,5.809391E-02,8.980647E+02,3.025739E+02,3.048138E-02,2.668185E-02,9.002958E+02,2.769177E+02,3.055711E-02,2.441950E-02,2.143270E+03,5.917882E+02,7.274427E-02,5.218675E-02,1.401226E+03,2.750040E+02,4.755512E-02,2.424929E-02,1.403474E+03,2.496685E+02,4.763143E-02,2.201527E-02
05:00:00,2.155269E+03,6.143878E+02,7.315157E-02,5.417962E-02,1.402046E+03,2.743481E+02,4.758296E-02,2.419144E-02,1.404286E+03,2.508289E+02,4.765898E-02,2.211759E-02,9.614456E+02,6.449181E+02,3.263622E-02,5.687786E-02,8.980646E+02,2.875513E+02,3.048138E-02,2.535717E-02,9.002957E+02,2.637934E+02,3.055711E-02,2.326220E-02,2.143270E+03,5.658490E+02,7.274427E-02,4.989943E-02,1.401226E+03,2.548308E+02,4.755511E-02,2.247046E-02,1.403474E+03,2.314455E+02,4.763143E-02,2.040841E-02
06:00:00,2.155269E+03,6.382180E+02,7.315157E-02,5.628121E-02,1.402046E+03,2.877068E+02,4.758296E-02,2.536939E-02,1.404286E+03,3.603126E+02,4.765898E-02,3.177165E-02,9.614455E+02,6.547082E+02,3.263622E-02,5.774156E-02,8.980645E+02,2.948836E+02,3.048137E-02,2.600380E-02,9.002957E+02,3.660149E+02,3.055710E-02,3.227651E-02,2.143269E+03,6.659221E+02,7.274426E-02,5.872454E-02,1.401226E+03,3.003719E+02,4.755511E-02,2.648619E-02,1.403474E+03,3.701575E+02,4.763143E-02,3.263977E-02
07:00:00,2.155269E+03,7.301147E+02,7.315157E-02,6.438606E-02,1.402046E+03,3.392741E+02,4.758296E-02,2.991679E-02,1.404286E+03,5.845216E+02,4.765898E-02,5.154389E-02,9.614455E+02,7.079264E+02,3.263621E-02,6.243589E-02,8.980644E+02,3.301017E+02,3.048137E-02,2.910979E-02,9.002956E+02,5.728680E+02,3.055710E-02,5.052046E-02,2.143269E+03,7.869966E+02,7.274425E-02,6.940405E-02,1.401226E+03,3.645345E+02,4.755511E-02,3.214455E-02,1.403474E+03,6.154813E+02,4.763143E-02,5.427466E-02
08:00:00,2.155269E+03,8.988838E+02,7.315156E-02,7.927092E-02,1.402046E+03,4.344391E+02,4.758296E-02,3.830891E-02,1.404286E+03,8.133953E+02,4.765898E-02,7.172847E-02,9.614455E+02,8.084084E+02,3.263621E-02,7.129921E-02,8.980643E+02,3.965340E+02,3.048137E-02,3.496869E-02,9.002956E+02,7.724582E+02,3.055710E-02,6.812465E-02,2.143269E+03,9.066065E+02,7.274425E-02,7.995300E-02,1.401226E+03,4.397344E+02,4.755511E-02,3.877608E-02,1.403474E+03,8.214297E+02,4.763143E-02,7.243750E-02
09:00:00,2.155269E+03,1.133070E+03,7.315156E-02,9.992500E-02,1.402046E+03,5.603076E+02,4.758295E-02,4.940860E-02,1.404286E+03,9.828311E+02,4.765898E-02,8.666892E-02,9.614455E+02,9.404759E+02,3.263621E-02,8.294823E-02,8.980643E+02,4.797651E+02,3.048137E-02,4.230907E-02,9.002955E+02,8.995668E+02,3.055710E-02,7.933260E-02,2.143269E+03,1.087409E+03,7.274424E-02,9.589744E-02,1.401225E+03,5.430468E+02,4.755511E-02,4.788633E-02,1.403474E+03,9.667075E+02,4.763142E-02,8.524692E-02
10:00:00,2.155269E+03,1.437128E+03,7.315156E-02,1.267404E-01,1.402046E+03,7.144812E+02,4.758295E-02,6.300403E-02,1.404286E+03,1.098782E+03,4.765898E-02,9.689121E-02,9.614454E+02,1.078840E+03,3.263621E-02,9.515165E-02,8.980642E+02,5.650605E+02,3.048136E-02,4.983110E-02,9.002955E+02,9.455411E+02,3.055710E-02,8.338304E-02,2.143269E+03,1.290032E+03,7.274424E-02,1.137663E-01,1.401225E+03,6.550704E+02,4.755510E-02,5.776469E-02,1.403474E+03,1.038083E+03,4.763142E-02,9.153831E-02
11:00:00,2.155269E+03,1.733301E+03,7.315155E-02,1.528590E-01,1.402046E+03,8.609134E+02,4.758295E-02,7.591640E-02,1.404286E+03,1.144625E+03,4.765898E-02,1.009320E-01,9.614454E+02,1.201897E+03,3.263621E-02,1.060033E-01,8.980641E+02,6.391699E+02,3.048136E-02,5.636606E-02,9.002955E+02,9.194436E+02,3.055710E-02,8.107916E-02,2.143269E+03,1.463513E+03,7.274423E-02,1.290645E-01,1.401225E+03,7.504553E+02,4.755510E-02,6.617559E-02,1.403474E+03,1.031439E+03,4.763142E-02,9.095103E-02
